17-Apr-2022 21:31:34: Starting analysis of o3_surface_20180701000000.nc
17-Apr-2022 21:31:35: Success processing data hour 1
17-Apr-2022 21:31:35: Success processing data hour 2
17-Apr-2022 21:31:35: Success processing data hour 3
17-Apr-2022 21:31:35: Success processing data hour 4
17-Apr-2022 21:31:35: Success processing data hour 5
17-Apr-2022 21:31:35: Success processing data hour 6
17-Apr-2022 21:31:35: Success processing data hour 7
17-Apr-2022 21:31:35: Success processing data hour 8
17-Apr-2022 21:31:35: Success processing data hour 9
17-Apr-2022 21:31:35: Success processing data hour 10
17-Apr-2022 21:31:35: Success processing data hour 11
17-Apr-2022 21:31:35: Success processing data hour 12
17-Apr-2022 21:31:35: Success processing data hour 13
17-Apr-2022 21:31:35: Success processing data hour 14
17-Apr-2022 21:31:35: Success processing data hour 15
17-Apr-2022 21:31:35: Success processing data hour 16
17-Apr-2022 21:31:36: Success processing data hour 17
17-Apr-2022 21:31:36: Success processing data hour 18
17-Apr-2022 21:31:36: Success processing data hour 19
17-Apr-2022 21:31:36: Success processing data hour 20
17-Apr-2022 21:31:36: Success processing data hour 21
17-Apr-2022 21:31:36: Success processing data hour 22
17-Apr-2022 21:31:36: Success processing data hour 23
17-Apr-2022 21:31:36: Success processing data hour 24
17-Apr-2022 21:31:36: Success processing data hour 25
